             ARC_NA              MV_CASE              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_ONE              DMARC_DNSFAIL              FROM_NO_DN              RCVD_COUNT_ZERO              MIME_TRACE              R_DKIM_NA              DATE_IN_PAST              MID_RHS_NOT_FQDN              HFILTER_HOSTNAME_UNKNOWN              TO_DOM_EQ_FROM_DOM ;0
             ARC_NA              FAKE_REPLY              MV_CASE              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_ONE              DMARC_DNSFAIL              FROM_NO_DN              RCVD_COUNT_ZERO              MIME_TRACE              R_DKIM_NA              DATE_IN_PAST              MID_RHS_NOT_FQDN              HFILTER_HOSTNAME_UNKNOWN              TO_DOM_EQ_FROM_DOM ;0
             ARC_NA              RCVD_COUNT_FIVE              R_SPF_DNSFAIL              FROM_HAS_DN              FREEMAIL_FROM              MV_CASE              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_ONE              MISSING_MID              DMARC_DNSFAIL              RCVD_NO_TLS_LAST              FROM_EQ_ENVFROM              R_DKIM_NA              FREEMAIL_ENVFROM              DATE_IN_PAST              MIME_TRACE              RECEIVED_SPAMHAUS_FAIL ;1
             ARC_NA              DATE_IN_PAST              XM_UA_NO_VERSION              R_SPF_DNSFAIL              FROM_HAS_DN              MIME_GOOD              TO_DN_NONE              URI_COUNT_ODD              RCPT_COUNT_ONE              DMARC_DNSFAIL              RCVD_NO_TLS_LAST              FROM_EQ_ENVFROM              R_DKIM_NA              MIME_TRACE              RCVD_COUNT_TWO              HFILTER_HOSTNAME_UNKNOWN              R_PARTS_DIFFER              RECEIVED_SPAMHAUS_FAIL ;1
             ARC_NA              MV_CASE              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_ONE              DMARC_DNSFAIL              FROM_NO_DN              RCVD_COUNT_ZERO              MIME_TRACE              R_DKIM_NA              DATE_IN_PAST              MID_RHS_NOT_FQDN              HFILTER_HOSTNAME_UNKNOWN              TO_DOM_EQ_FROM_DOM ;0
             ARC_NA              MID_RHS_NOT_FQDN              MV_CASE              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_ONE              DMARC_DNSFAIL              FROM_NO_DN              RCVD_COUNT_ZERO              MIME_TRACE              DATE_IN_PAST              R_DKIM_NA              HFILTER_HOSTNAME_UNKNOWN ;0
             ARC_NA              MID_RHS_NOT_FQDN              MV_CASE              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_FIVE              DMARC_DNSFAIL              FROM_NO_DN              RCVD_COUNT_ZERO              MIME_TRACE              DATE_IN_PAST              R_DKIM_NA              HFILTER_HOSTNAME_UNKNOWN ;0
             ARC_NA              MV_CASE              MIME_GOOD              TO_DN_NONE              DMARC_DNSFAIL              FROM_NO_DN              RCPT_COUNT_TWELVE              RCVD_COUNT_ZERO              MIME_TRACE              R_DKIM_NA              DATE_IN_PAST              MID_RHS_NOT_FQDN              HFILTER_HOSTNAME_UNKNOWN ;0
             ARC_NA              MV_CASE              MIME_GOOD              TO_DN_NONE              DMARC_DNSFAIL              RCPT_COUNT_TWO              FROM_NO_DN              RCVD_COUNT_ZERO              MIME_TRACE              R_DKIM_NA              DATE_IN_PAST              MID_RHS_NOT_FQDN              HFILTER_HOSTNAME_UNKNOWN ;0
             ARC_NA              RCVD_COUNT_FIVE              R_SPF_DNSFAIL              FROM_HAS_DN              MIME_MA_MISSING_TEXT              MIME_MA_MISSING_HTML              MULTIPLE_UNIQUE_HEADERS              MIME_GOOD              TO_DN_NONE              RCPT_COUNT_ONE              DMARC_DNSFAIL              SUBJ_ALL_CAPS              RCVD_NO_TLS_LAST              R_DKIM_NA              MIME_TRACE              DATE_IN_PAST              FROM_NEQ_ENVFROM              RECEIVED_SPAMHAUS_FAIL ;1
