"BAYES_00 HEADER_FROM_DIFFERENT_DOMAINS LOC_ENVTO_IETF LOC_HDRTOCC_US LOC_IETF_LIST_ID MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 HEADER_FROM_DIFFERENT_DOMAINS LOC_ENVTO_IETF LOC_HDRTOCC_US LOC_IETF_LIST_ID MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 LOC_ENVTO_IETF LOC_HDRTOCC_US LOC_IETF_LIST_ID LOC_IETF_SUBJ MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 HEADER_FROM_DIFFERENT_DOMAINS LOC_ENVTO_IETF LOC_HDRTOCC_US LOC_IETF_LIST_ID MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 LOC_ENVTO_IETF LOC_HDRTOCC_US LOC_IETF_LIST_ID LOC_IETF_SUBJ MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_50 HTML_IMAGE_RATIO_08 HTML_MESSAGE LOC_HDRTOCC_US T_REMOTE_IMAGE  ;"
"BAYES_00 FREEMAIL_FORGED_FROMDOMAIN FREEMAIL_FROM HEADER_FROM_DIFFERENT_DOMAINS HTML_MESSAGE LOC_ENVTO_IETF LOC_ENVTO_IETF_ALTO LOC_HDRTOCC_US LOC_IETF_LIST_ID LOC_IETF_SUBJ MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 FREEMAIL_FORGED_FROMDOMAIN FREEMAIL_FROM HEADER_FROM_DIFFERENT_DOMAINS HTML_MESSAGE LOC_ENVTO_IETF LOC_ENVTO_IETF_ALTO LOC_HDRTOCC_US LOC_IETF_LIST_ID LOC_IETF_SUBJ MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 HEADER_FROM_DIFFERENT_DOMAINS HTML_MESSAGE LOC_ENVTO_IETF LOC_HDRTOCC_US LOC_IETF_LIST_ID MAILING_LIST_MULTI T_DKIM_INVALID  ;"
"BAYES_00 LOC_HDRTOCC_US RDNS_NONE  ;"
